house_ID,Area_m2,volume_m3,representative_image
H_817d53024_1058d18455,56.68,364.38,H_817d53024_1058d18455.jpg
H_793d79651_1072d83124,347.45,1406.04,H_793d79651_1072d83124.jpg
H_663d73387_1165d64785,509.24,1553.92,H_663d73387_1165d64785.jpg
H_663d73387_1165d64785,21.93,64.45,H_663d73387_1165d64785.jpg
H_692d44592_1145d57935,504.2,2050.72,H_692d44592_1145d57935.jpg
H_705d63316_1124d30163,61.39,144.66,H_705d63316_1124d30163.jpg
H_747d83717_1108d81606,378.07,1569.7,H_747d83717_1108d81606.jpg
H_714d40428_1130d53869,229.39,744.63,H_714d40428_1130d53869.jpg
H_766d04875_1092d42553,226.68,910.68,H_766d04875_1092d42553.jpg
H_678d03978_1182d07464,47.28,131.36,H_678d03978_1182d07464.jpg
H_684d46189_1171d97249,50.66,106.42,H_684d46189_1171d97249.jpg
