house_ID,Area_m2,volume_m3,representative_image
H_906d93970_1001d94433,131.88,327.22,H_906d93970_1001d94433.jpg
H_913d98868_1013d90725,184.63,874.74,H_913d98868_1013d90725.jpg
H_863d92160_1051d84586,183.14,978.06,H_863d92160_1051d84586.jpg
H_785d51181_1107d38960,115.19,787.86,H_785d51181_1107d38960.jpg
H_884d70454_1036d57286,177.15,522.5,H_884d70454_1036d57286.jpg
H_844d24475_1064d21872,70.46,313.99,H_844d24475_1064d21872.jpg
H_816d08851_1070d25860,53.86,477.82,H_816d08851_1070d25860.jpg
H_802d69017_1105d60975,45.12,156.99,H_802d69017_1105d60975.jpg
H_760d70887_1112d65257,99.95,283.01,H_760d70887_1112d65257.jpg
H_825d43175_1070d08019,46.37,111.79,H_825d43175_1070d08019.jpg
H_770d71092_1138d29624,36.11,163.52,H_770d71092_1138d29624.jpg
