house_ID,Area_m2,volume_m3,representative_image
H_877d52342_1054d76882,767.03,2805.05,H_877d52342_1054d76882.jpg
H_900d88657_1060d74562,78.08,186.67,H_900d88657_1060d74562.jpg
H_875d14891_1085d11029,40.4,94.5,H_875d14891_1085d11029.jpg
H_790d95287_1128d18123,285.63,955.39,H_790d95287_1128d18123.jpg
H_761d41409_1143d92470,938.28,2993.16,H_761d41409_1143d92470.jpg
H_852d12003_1089d97173,311.72,1341.37,H_852d12003_1089d97173.jpg
H_846d00661_1073d20210,103.83,242.82,H_846d00661_1073d20210.jpg
H_808d64125_1124d63136,92.29,744.1,H_808d64125_1124d63136.jpg
H_734d30985_1164d64580,238.33,818.19,H_734d30985_1164d64580.jpg
H_820d30359_1131d63654,73.28,225.89,H_820d30359_1131d63654.jpg
H_828d75504_1099d39582,156.74,584.99,H_828d75504_1099d39582.jpg
H_772d89594_1165d33506,39.64,100.18,H_772d89594_1165d33506.jpg
H_812d37111_1110d43992,103.37,390.93,H_812d37111_1110d43992.jpg
H_737d94290_1180d91451,49.54,145.83,H_737d94290_1180d91451.jpg
